Number of stations is:
500
nw stn lat lon:
SY AAAA  80.0000  -90.0000
SY AAAB  80.8333  -90.0000
SY AAAC  81.6667  -90.0000
SY AAAD  82.5000  -90.0000
SY AAAE  83.3333  -90.0000
SY AAAF  84.1667  -90.0000
SY AAAG  85.0000  -90.0000
SY AAAH  85.8333  -90.0000
SY AAAI  86.6667  -90.0000
SY AAAJ  87.5000  -90.0000
SY AAAK  88.3333  -90.0000
SY AAAL  89.1667  -90.0000
SY AAAM  90.0000  180.0000
SY AAAN  89.1667   90.0000
SY AAAO  88.3333   90.0000
SY AAAP  87.5000   90.0000
SY AAAQ  86.6667   90.0000
SY AAAR  85.8333   90.0000
SY AAAS  85.0000   90.0000
SY AAAT  84.1667   90.0000
SY AAAU  83.3333   90.0000
SY AAAV  82.5000   90.0000
SY AAAW  81.6667   90.0000
SY AAAX  80.8333   90.0000
SY AAAY  80.0000   90.0000
SY AAAZ  79.9453  -96.0401
SY AABA  80.7736  -96.5792
SY AABB  81.6009  -97.2252
SY AABC  82.4269  -98.0128
SY AABD  83.2511  -98.9936
SY AABE  84.0728  -100.2475
SY AABF  84.8907  -101.9046
SY AABG  85.7027  -104.1916
SY AABH  86.5046  -107.5367
SY AABI  87.2876  -112.8425
SY AABJ  88.0288  -122.2822
SY AABK  88.6575  -141.6366
SY AABL  88.9474  180.0000
SY AABM  88.6575  141.6366
SY AABN  88.0288  122.2822
SY AABO  87.2876  112.8425
SY AABP  86.5046  107.5367
SY AABQ  85.7027  104.1916
SY AABR  84.8907  101.9046
SY AABS  84.0728  100.2475
SY AABT  83.2511   98.9936
SY AABU  82.4269   98.0128
SY AABV  81.6009   97.2252
SY AABW  80.7736   96.5792
SY AABX  79.9453   96.0401
SY AABY  79.7830  -101.9527
SY AABZ  80.5967  -102.9937
SY AACA  81.4067  -104.2323
SY AACB  82.2118  -105.7289
SY AACC  83.0103  -107.5702
SY AACD  83.7996  -109.8845
SY AACE  84.5759  -112.8689
SY AACF  85.3325  -116.8365
SY AACG  86.0581  -122.3019
SY AACH  86.7321  -130.1226
SY AACI  87.3151  -141.6490
SY AACJ  87.7359  -158.4142
SY AACK  87.8947  180.0000
SY AACL  87.7359  158.4142
SY AACM  87.3151  141.6490
SY AACN  86.7321  130.1226
SY AACO  86.0581  122.3019
SY AACP  85.3325  116.8365
SY AACQ  84.5759  112.8689
SY AACR  83.7996  109.8845
SY AACS  83.0103  107.5702
SY AACT  82.2118  105.7289
SY AACU  81.4067  104.2323
SY AACV  80.5967  102.9937
SY AACW  79.7830  101.9527
SY AACX  79.5181  -107.6261
SY AACY  80.3090  -109.1021
SY AACZ  81.0923  -110.8404
SY AADA  81.8658  -112.9131
SY AADB  82.6263  -115.4188
SY AADC  83.3693  -118.4949
SY AADD  84.0884  -122.3347
SY AADE  84.7735  -127.2106
SY AADF  85.4096  -133.4970
SY AADG  85.9731  -141.6696
SY AADH  86.4297  -152.2032
SY AADI  86.7341  -165.2321
SY AADJ  86.8421  180.0000
SY AADK  86.7341  165.2321
SY AADL  86.4297  152.2032
SY AADM  85.9731  141.6696
SY AADN  85.4096  133.4970
SY AADO  84.7735  127.2106
SY AADP  84.0884  122.3347
SY AADQ  83.3693  118.4949
SY AADR  82.6263  115.4188
SY AADS  81.8658  112.9131
SY AADT  81.0923  110.8404
SY AADU  80.3090  109.1021
SY AADV  79.5181  107.6261
SY AADW  79.1580  -112.9751
SY AADX  79.9201  -114.8030
SY AADY  80.6701  -116.9289
SY AADZ  81.4048  -119.4241
SY AAEA  82.1201  -122.3808
SY AAEB  82.8101  -125.9180
SY AAEC  83.4667  -130.1877
SY AAED  84.0790  -135.3769
SY AAEE  84.6316  -141.6985
SY AAEF  85.1044  -149.3536
SY AAEG  85.4722  -158.4428
SY AAEH  85.7079  -168.8249
SY AAEI  85.7895  180.0000
SY AAEJ  85.7079  168.8249
SY AAEK  85.4722  158.4428
SY AAEL  85.1044  149.3536
SY AAEM  84.6316  141.6985
SY AAEN  84.0790  135.3769
SY AAEO  83.4667  130.1877
SY AAEP  82.8101  125.9180
SY AAEQ  82.1201  122.3808
SY AAER  81.4048  119.4241
SY AAES  80.6701  116.9289
SY AAET  79.9201  114.8030
SY AAEU  79.1580  112.9751
SY AAEV  78.7120  -117.9455
SY AAEW  79.4410  -120.0385
SY AAEX  80.1537  -122.4400
SY AAEY  80.8462  -125.2125
SY AAEZ  81.5135  -128.4317
SY AAFA  82.1493  -132.1881
SY AAFB  82.7453  -136.5857
SY AAFC  83.2908  -141.7356
SY AAFD  83.7726  -147.7401
SY AAFE  84.1748  -154.6618
SY AAFF  84.4800  -162.4775
SY AAFG  84.6715  -171.0281
SY AAFH  84.7368  180.0000
SY AAFI  84.6715  171.0281
SY AAFJ  84.4800  162.4775
SY AAFK  84.1748  154.6618
SY AAFL  83.7726  147.7401
SY AAFM  83.2908  141.7356
SY AAFN  82.7453  136.5857
SY AAFO  82.1493  132.1881
SY AAFP  81.5135  128.4317
SY AAFQ  80.8462  125.2125
SY AAFR  80.1537  122.4400
SY AAFS  79.4410  120.0385
SY AAFT  78.7120  117.9455
SY AAFU  78.1897  -122.5126
SY AAFV  78.8835  -124.7900
SY AAFW  79.5572  -127.3679
SY AAFX  80.2066  -130.2964
SY AAFY  80.8265  -133.6326
SY AAFZ  81.4105  -137.4394
SY AAGA  81.9509  -141.7811
SY AAGB  82.4383  -146.7163
SY AAGC  82.8617  -152.2852
SY AAGD  83.2093  -158.4904
SY AAGE  83.4689  -165.2766
SY AAGF  83.6297  -172.5139
SY AAGG  83.6842  180.0000
SY AAGH  83.6297  172.5139
SY AAGI  83.4689  165.2766
SY AAGJ  83.2093  158.4904
SY AAGK  82.8617  152.2852
SY AAGL  82.4383  146.7163
SY AAGM  81.9509  141.7811
SY AAGN  81.4105  137.4394
SY AAGO  80.8265  133.6326
SY AAGP  80.2066  130.2964
SY AAGQ  79.5572  127.3679
SY AAGR  78.8835  124.7900
SY AAGS  78.1897  122.5126
SY AAGT  77.6008  -126.6753
SY AAGU  78.2588  -129.0679
SY AAGV  78.8935  -131.7413
SY AAGW  79.5008  -134.7334
SY AAGX  80.0757  -138.0844
SY AAGY  80.6121  -141.8348
SY AAGZ  81.1031  -146.0212
SY AAHA  81.5408  -150.6701
SY AAHB  81.9165  -155.7899
SY AAHC  82.2212  -161.3604
SY AAHD  82.4465  -167.3245
SY AAHE  82.5849  -173.5831
SY AAHF  82.6316  180.0000
SY AAHG  82.5849  173.5831
SY AAHH  82.4465  167.3245
